text,service,urgency,required_skill
My ceiling fan stopped working,Electrical,Medium,Electrical Repair
Ceiling fan is not running,Electrical,Medium,Electrical Repair
Fan is making a strange noise,Electrical,Medium,Ceiling Fan Repair
My fan is not starting,Electrical,Medium,Ceiling Fan Repair
Need someone to repair my ceiling fan,Electrical,Medium,Ceiling Fan Repair
Light bulb keeps flickering,Electrical,Medium,Lighting Repair
The tube light is flickering,Electrical,Medium,Lighting Repair
My bedroom light is not working,Electrical,Medium,Lighting Repair
Need help installing a tube light,Electrical,Low,Lighting Installation
The switch is broken,Electrical,Medium,Switch Repair
Wall switch is not working,Electrical,Medium,Switch Repair
My socket has stopped working,Electrical,Medium,Socket Repair
Power socket is loose,Electrical,Medium,Socket Repair
There is a spark from the switch,Electrical,High,Electrical Repair
Switchboard is sparking,Electrical,High,Electrical Repair
Mere ghar ka fan kharab hai,Electrical,Medium,Ceiling Fan Repair
Fan chal nahi raha hai,Electrical,Medium,Ceiling Fan Repair
Light blink kar rahi hai,Electrical,Medium,Lighting Repair
Switch se spark aa raha hai,Electrical,High,Electrical Repair
Socket kaam nahi kar raha,Electrical,Medium,Socket Repair
Mere room ki light band hai,Electrical,Medium,Lighting Repair
Need an electrician for wiring,Electrical,Medium,Electrical Repair
Some wires are damaged,Electrical,High,Electrical Repair
Electrical wiring needs repair,Electrical,Medium,Electrical Repair
My doorbell is not working,Electrical,Medium,Electrical Repair
Door bell stopped working,Electrical,Medium,Electrical Repair
Need an electrician to install a new light,Electrical,Low,Lighting Installation
Need a new ceiling fan installed,Electrical,Low,Ceiling Fan Installation
My exhaust fan stopped working,Electrical,Medium,Electrical Repair
Exhaust fan is not turning on,Electrical,Medium,Electrical Repair
Water is leaking under my kitchen sink,Plumbing,High,Plumbing Repair
Kitchen sink is leaking,Plumbing,High,Plumbing Repair
There is a leak under the bathroom sink,Plumbing,High,Plumbing Repair
My tap is leaking,Plumbing,Medium,Tap Repair
Bathroom tap keeps dripping,Plumbing,Medium,Tap Repair
Kitchen faucet is leaking,Plumbing,Medium,Tap Repair
Water pipe has a leak,Plumbing,High,Pipe Repair
A pipe is leaking in my house,Plumbing,High,Pipe Repair
Water is coming out of the pipe,Plumbing,High,Pipe Repair
My sink is blocked,Plumbing,Medium,Drain Repair
Kitchen drain is clogged,Plumbing,Medium,Drain Repair
Bathroom drain is blocked,Plumbing,Medium,Drain Repair
Water is not draining from the sink,Plumbing,Medium,Drain Repair
Need help fixing a leaking tap,Plumbing,Medium,Tap Repair
Need a plumber urgently,Plumbing,High,Plumbing Repair
Bathroom pipe is leaking badly,Plumbing,High,Pipe Repair
Mere sink ke neeche paani leak ho raha hai,Plumbing,High,Plumbing Repair
Tap se paani leak ho raha hai,Plumbing,Medium,Tap Repair
Bathroom ka drain block hai,Plumbing,Medium,Drain Repair
Pipe mein leakage hai,Plumbing,High,Pipe Repair
Sink ka paani drain nahi ho raha,Plumbing,Medium,Drain Repair
Kitchen tap is broken,Plumbing,Medium,Tap Repair
Water pipe needs replacement,Plumbing,Medium,Pipe Repair
My bathroom faucet is dripping,Plumbing,Medium,Tap Repair
There is water leaking from the bathroom pipe,Plumbing,High,Pipe Repair
Need someone to fix my sink,Plumbing,Medium,Plumbing Repair
Water is pooling near the sink,Plumbing,High,Plumbing Repair
My drain smells and is blocked,Plumbing,Medium,Drain Repair
Need plumbing work in my kitchen,Plumbing,Medium,Plumbing Repair
Please fix the leaking bathroom tap,Plumbing,Medium,Tap Repair
I need help assembling a wooden table,Carpentry,Low,Furniture Assembly
Please assemble my study table,Carpentry,Low,Furniture Assembly
Need someone to assemble a chair,Carpentry,Low,Furniture Assembly
My wooden chair is broken,Carpentry,Medium,Furniture Repair
Wooden table needs repair,Carpentry,Medium,Furniture Repair
My cupboard door is broken,Carpentry,Medium,Carpentry Repair
Cupboard hinge needs fixing,Carpentry,Medium,Carpentry Repair
Door hinge is loose,Carpentry,Medium,Door Repair
My wooden door is damaged,Carpentry,Medium,Door Repair
